NACE Rev.2 grouped hierarchy (Section > Division > Group > Class),,,,,,,,,,,,,,,,
"Use the +/- outline controls at left to expand Sections to Divisions, Divisions to Groups, and Groups to Classes.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
level_depth,level,node_code,node_name,node_key,parent_key,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,hierarchy_path_codes,hierarchy_path_names,source_row_number
4,class,01.26,Growing of oleaginous fruits,class:01.26,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.26,Growing of oleaginous fruits,A | 01 | 01.2 | 01.26,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of oleaginous fruits",22
4,class,01.27,Growing of beverage crops,class:01.27,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.27,Growing of beverage crops,A | 01 | 01.2 | 01.27,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of beverage crops",23
4,class,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",class:01.28,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",A | 01 | 01.2 | 01.28,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of spices, aromatic, drug and pharmaceutical crops",24
4,class,01.29,Growing of other perennial crops,class:01.29,group:01.2,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.2,Growing of perennial crops,01.29,Growing of other perennial crops,A | 01 | 01.2 | 01.29,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Growing of perennial crops | Growing of other perennial crops",25
3,group,01.3,Plant propagation,group:01.3,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.3,Plant propagation,,,A | 01 | 01.3,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Plant propagation",26
4,class,01.30,Plant propagation,class:01.30,group:01.3,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.3,Plant propagation,01.30,Plant propagation,A | 01 | 01.3 | 01.30,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Plant propagation | Plant propagation",27
3,group,01.4,Animal production,group:01.4,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,,,A | 01 | 01.4,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production",28
4,class,01.41,Raising of dairy cattle,class:01.41,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.41,Raising of dairy cattle,A | 01 | 01.4 | 01.41,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of dairy cattle",29
4,class,01.42,Raising of other cattle and buffaloes,class:01.42,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.42,Raising of other cattle and buffaloes,A | 01 | 01.4 | 01.42,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of other cattle and buffaloes",30
4,class,01.43,Raising of horses and other equines,class:01.43,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.43,Raising of horses and other equines,A | 01 | 01.4 | 01.43,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of horses and other equines",31
